Emp ID;Name Prefix;First Name;Middle Initial;Last Name;Gender;E Mail;Father's Name;Mother's Name;Mother's Maiden Name;Date of Birth;Time of Birth;Age in Yrs.;Weight in Kgs.;Date of Joining;Quarter of Joining;Half of Joining;Year of Joining;Month of Joining;Month Name of Joining;Short Month;Day of Joining;DOW of Joining;Short DOW;Age in Company (Years);Salary;Last % Hike;SSN;Phone No. ;Province ID;User Name;Password
850297;Ms.;Shawna;W;Buck;F;shawna.buck@gmail.com;Rosario Buck;Keisha Buck;Hendricks;12/12/1971;6:34:47 AM;45.66;44;12/18/2010;Q4;H2;2010;12;December;Dec;18;Saturday;Sat;6.61;119090;17%;222-11-7603;702-771-7149;37;swbuck;ja8?k3BTF^]o@<&
304721;Mr.;Nathaniel;Z;Burke;M;nathaniel.burke@walmart.com;Derrick Burke;Phoebe Burke;Pugh;10/31/1993;2:02:38 AM;23.76;52;4/25/2017;Q2;H1;2017;4;April;Apr;25;Tuesday;Tue;0.26;117991;14%;550-99-9897;231-765-6923;56;nzburke;tPA@4Wh9Ja$+Ln
412317;Drs.;Elisabeth;W;Foster;F;elisabeth.foster@gmail.com;Irwin Foster;Janie Foster;Delaney;11/26/1994;3:48:27 PM;22.68;42;3/27/2017;Q1;H1;2017;3;March;Mar;27;Monday;Mon;0.34;161045;28%;215-91-0004;270-749-4774;73;ewfoster;5D.B4IGNkWJfG<~
621375;Mrs.;Briana;C;Lancaster;F;briana.lancaster@yahoo.com;Jeffrey Lancaster;Shelby Lancaster;Weiss;11/24/1975;9:44:16 PM;41.7;43;2/25/2003;Q1;H1;2003;2;February;Feb;25;Tuesday;Tue;14.43;142616;16%;534-71-1053;219-623-8216;14;bclancaster;I%?JDM
787549;Hon.;Estella;L;Potter;F;estella.potter@gmail.com;Booker Potter;Katelyn Potter;Pate;3/13/1995;9:30:28 PM;22.39;58;10/11/2016;Q4;H2;2016;10;October;Oct;11;Tuesday;Tue;0.79;135706;11%;644-29-6396;907-677-8486;69;elpotter;j4jkEXfC&Rh
520092;Mr.;Lamont;L;Woods;M;lamont.woods@hotmail.com;Ignacio Woods;Beulah Woods;Trujillo;10/13/1991;7:19:41 AM;25.81;59;11/27/2014;Q4;H2;2014;11;November;Nov;27;Thursday;Thu;2.67;173027;17%;037-74-2595;236-597-8196;59;llwoods;8tf/YU}>s
795934;Ms.;Melinda;L;Lopez;F;melinda.lopez@hotmail.com;Leroy Lopez;Edna Lopez;Carter;9/15/1984;1:31:34 PM;32.89;55;11/22/2005;Q4;H2;2005;11;November;Nov;22;Tuesday;Tue;11.69;41287;4%;541-83-6362;210-396-1493;22;mllopez;hf*&Gcb[
159108;Mrs.;Shanna;U;Silva;F;shanna.silva@gmail.com;Eliseo Silva;Minnie Silva;Callahan;6/19/1958;12:42:34 PM;59.15;48;10/23/1999;Q4;H2;1999;10;October;Oct;23;Saturday;Sat;17.78;85833;13%;673-48-7003;236-373-6712;79;susilva;oudj2Bq4vc2_{PU
330816;Ms.;Jasmine;J;Freeman;F;jasmine.freeman@gmail.com;Hans Freeman;Renee Freeman;Mcbride;8/31/1961;5:28:26 AM;55.95;55;02/01/1983;Q1;H1;1983;2;February;Feb;1;Tuesday;Tue;34.51;154216;1%;600-99-8437;423-796-1535;31;jjfreeman;Q.8<Q>K*H\*6f
532002;Ms.;Madge;V;Sargent;F;madge.sargent@aol.com;Luke Sargent;Judy Sargent;Herrera;10/02/1981;5:09:07 PM;35.84;58;4/13/2006;Q2;H1;2006;4;April;Apr;13;Thursday;Thu;11.3;133003;20%;177-86-7347;217-910-0644;56;mvsargent;bc\&B81h
